algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,total_cost,delay_ms,reliability_cost,resource_cost
GeneticAlgorithm,0,0,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
GeneticAlgorithm,0,1,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
GeneticAlgorithm,0,2,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
GeneticAlgorithm,0,3,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
GeneticAlgorithm,0,4,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
GeneticAlgorithm,1,0,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
GeneticAlgorithm,1,1,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
GeneticAlgorithm,1,2,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
GeneticAlgorithm,1,3,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
GeneticAlgorithm,1,4,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
GeneticAlgorithm,2,0,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
GeneticAlgorithm,2,1,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
GeneticAlgorithm,2,2,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
GeneticAlgorithm,2,3,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
GeneticAlgorithm,2,4,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
GeneticAlgorithm,3,0,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
GeneticAlgorithm,3,1,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
GeneticAlgorithm,3,2,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
GeneticAlgorithm,3,3,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
GeneticAlgorithm,3,4,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
GeneticAlgorithm,4,0,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
GeneticAlgorithm,4,1,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
GeneticAlgorithm,4,2,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
GeneticAlgorithm,4,3,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
GeneticAlgorithm,4,4,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
GeneticAlgorithm,5,0,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
GeneticAlgorithm,5,1,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
GeneticAlgorithm,5,2,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
GeneticAlgorithm,5,3,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
GeneticAlgorithm,5,4,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
GeneticAlgorithm,6,0,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
GeneticAlgorithm,6,1,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
GeneticAlgorithm,6,2,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
GeneticAlgorithm,6,3,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
